name,checked,lemma,path,dictionary
bandaid,bandaid,bandaid,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/bandaid.wmv'],Acessibilidades2
lagartixa,lagartixa,lagartixa,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/lagartixa.wmv'],Acessibilidades2
aroma,aroma,aroma,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/aroma.wmv'],Acessibilidades2
quando,quando,quando,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/quando1.wmv'],Acessibilidades2
quando,quando,quando,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/quando2.wmv'],Acessibilidades2
escoces,escocês,escoce,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/escoces.wmv'],Acessibilidades2
pegar,pegar,pegar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/pegar3.wmv'],Acessibilidades2
pegar,pegar,pegar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/pegar2.wmv'],Acessibilidades2
pegar,pegar,pegar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/pegar1.wmv'],Acessibilidades2
casado,casado,casado,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/casado.wmv'],Acessibilidades2
policial,policial,policial,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/policial.wmv'],Acessibilidades2
sobre,sobre,sobre,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/sobre1.wmv'],Acessibilidades2
sobre,sobre,sobre,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/sobre2.wmv'],Acessibilidades2
sobre,sobre,sobre,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/sobre3.wmv'],Acessibilidades2
enceradeira,enceradeira,enceradeira,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/enceradeira.wmv'],Acessibilidades2
rascunho,rascunho,rascunho,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/rascunho.wmv'],Acessibilidades2
perfurar,perfurar,perfurar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/perfurar.wmv'],Acessibilidades2
pano,pano,pano,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/pano3.wmv'],Acessibilidades2
pano,pano,pano,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/pano1.wmv'],Acessibilidades2
pano,pano,pano,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/pano2.wmv'],Acessibilidades2
queimado,queimado,queimar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/queimado1.wmv'],Acessibilidades2
queimado,queimado,queimar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/queimado2.wmv'],Acessibilidades2
carie,carie,carie,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/carie.wmv'],Acessibilidades2
batedeira,batedeira,Batedeira,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/batedeira.wmv'],Acessibilidades2
acender,acender,acender,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/acender2.wmv'],Acessibilidades2
acender,acender,acender,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/acender1.wmv'],Acessibilidades2
acender,acender,acender,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/acender3.wmv'],Acessibilidades2
acender,acender,acender,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/acender4.wmv'],Acessibilidades2
desporto,desporto,desporto,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/desporto.wmv'],Acessibilidades2
esposa,esposa,esposo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/esposa.wmv'],Acessibilidades2
fabula,fábula,fabular,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/fabula.wmv'],Acessibilidades2
encorajamento,encorajamento,encorajamento,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/encorajamento.wmv'],Acessibilidades2
quase,quase,quase,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/quase2.wmv'],Acessibilidades2
quase,quase,quase,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/quase1.wmv'],Acessibilidades2
funcionario,funcionário,funcionario,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/funcionario.wmv'],Acessibilidades2
comecar,começar,comecar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/comecar1.wmv'],Acessibilidades2
comecar,começar,comecar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/comecar2.wmv'],Acessibilidades2
nuca,nuca,nucar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/nuca.wmv'],Acessibilidades2
aparelho desom,aparelho desom,aparelho,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/aparelho_desom.wmv'],Acessibilidades2
enterrar,enterrar,enterrar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/enterrar.wmv'],Acessibilidades2
aeronautica,aeronáutica,aeronautico,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/aeronautica1.wmv'],Acessibilidades2
analisar,analisar,analisar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/analisar.wmv'],Acessibilidades2
sabio,sábio,sabio,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/sabio.wmv'],Acessibilidades2
cauda,cauda,cauda,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/cauda.wmv'],Acessibilidades2
cauda,cauda,cauda,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/cauda1.wmv'],Acessibilidades2
escravo,escravo,escravo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/escravo.wmv'],Acessibilidades2
farol,farol,farol,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/farol2.wmv'],Acessibilidades2
farol,farol,farol,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/farol1.wmv'],Acessibilidades2
apelidar,apelidar,apelidar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/apelidar1.wmv'],Acessibilidades2
apelidar,apelidar,apelidar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/apelidar2.wmv'],Acessibilidades2
pipa,pipa,pipar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/pipa.wmv'],Acessibilidades2
cozido,cozido,cozer,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/cozido.wmv'],Acessibilidades2
sumariar,sumariar,sumariar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/sumariar.wmv'],Acessibilidades2
capengar,capengar,capengar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/capengar.wmv'],Acessibilidades2
bolsa de estudo,bolsa de estudo,Bolsa,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/bolsa-de-estudo.wmv'],Acessibilidades2
restaurante,restaurante,restaurante,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/restaurante.wmv'],Acessibilidades2
inscrever,inscrever,inscrever,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/inscrever.wmv'],Acessibilidades2
apertar,apertar,apertar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/apertar.wmv'],Acessibilidades2
observar,observar,observar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/observar2.wmv'],Acessibilidades2
observar,observar,observar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/observar1.wmv'],Acessibilidades2
ruivo,ruivo,ruivo,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/ruivo.wmv'],Acessibilidades2
assumir,assumir,assumir,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/assumir2.wmv'],Acessibilidades2
assumir,assumir,assumir,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/assumir1.wmv'],Acessibilidades2
assumir,assumir,assumir,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/assumir3.wmv'],Acessibilidades2
chave de fenda,chave de fenda,chave,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/chave_de_fenda.wmv'],Acessibilidades2
goiaba,goiaba,goiaba,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/goiaba.wmv'],Acessibilidades2
nave,nave,nave,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/nave1.wmv'],Acessibilidades2
enforcar,enforcar,enforcar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/enforcar.wmv'],Acessibilidades2
filosofia,filosofia,filosofia,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/filosofia.wmv'],Acessibilidades2
libertar,libertar,libertar,['/mnt/E-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/libertar.wmv'],Acessibilidades2
