label,path,dictionary,tensor_path
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/acontecer.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/Acessibilidades2_acontecer.pt']
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/acontecer2.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/Acessibilidades2_acontecer2.pt']
acontecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/acontecer3.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/acontecer/Acessibilidades2_acontecer3.pt']
aluno,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/aluno1.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aluno/Acessibilidades2_aluno1.pt']
amarelo,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/amarelo.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/amarelo/Acessibilidades2_amarelo.pt']
america,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/america.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/america/Acessibilidades2_america.pt']
aproveitar,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/aproveitar1.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aproveitar/Acessibilidades2_aproveitar1.pt']
aproveitar,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/aproveitar2.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/aproveitar/Acessibilidades2_aproveitar2.pt']
bala,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/bala2.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/bala/Acessibilidades2_bala2.pt']
banco,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/banco1.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banco/Acessibilidades2_banco1.pt']
banco,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/banco2.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banco/Acessibilidades2_banco2.pt']
banco,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/banco3.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banco/Acessibilidades2_banco3.pt']
banheiro,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/banheiro.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/banheiro/Acessibilidades2_banheiro.pt']
barulho,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/barulho.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/barulho/Acessibilidades2_barulho.pt']
conhecer,['/mnt/F-SSD/LIBRAS_datasets/datasets/acessibilidade_2/videos/conhecer.wmv'],Acessibilidades2,['/mnt/G-SSD/BRACIS/test_dataset_tensors_32_F-SSD/test_dataset_tensors_32/conhecer/Acessibilidades2_conhecer.pt']
